algorithm,label,n,instance_seed,alg_seed,best_cost,runtime_sec
SA,small,20,1,101,6519.884028200155,0.14031839999370277
ACO,small,20,1,101,4130.553213472366,0.43837560003157705
SA,small,20,1,202,6180.605091687285,0.14045359997544438
ACO,small,20,1,202,4130.553213472366,0.44479099998716265
SA,small,20,1,303,6155.258140809429,0.13898920000065118
ACO,small,20,1,303,4130.553213472366,0.4399487000191584
SA,small,20,1,404,6235.805536400365,0.13722270005382597
ACO,small,20,1,404,4130.553213472364,0.4358510000165552
SA,small,20,1,505,5919.494989880846,0.13595240004360676
ACO,small,20,1,505,4130.553213472366,0.4318194999359548
SA,small,20,2,101,5442.504377117804,0.13831199996639043
ACO,small,20,2,101,3622.843628175001,0.4319139999570325
SA,small,20,2,202,5109.994156444166,0.13481810002122074
ACO,small,20,2,202,3622.843628175001,0.4361922999378294
SA,small,20,2,303,5812.57748908911,0.1393590000225231
ACO,small,20,2,303,3622.843628175001,0.4332002999726683
SA,small,20,2,404,5689.420749855904,0.13885689992457628
ACO,small,20,2,404,3622.843628175001,0.43517499999143183
SA,small,20,2,505,5024.370141924201,0.13825820002239197
ACO,small,20,2,505,3622.843628175001,0.4384055999107659
SA,small,20,3,101,6310.2938095831205,0.14079780003521591
ACO,small,20,3,101,3960.273852567426,0.4368991000810638
SA,small,20,3,202,5528.373816299547,0.13804910006001592
ACO,small,20,3,202,3960.273852567426,0.432168300030753
SA,small,20,3,303,6220.836638309532,0.14107000001240522
ACO,small,20,3,303,3960.273852567426,0.4330352999968454
SA,small,20,3,404,5589.454409236443,0.13531839998904616
ACO,small,20,3,404,3960.2738525674263,0.42958959995303303
SA,small,20,3,505,6110.747571566135,0.13737899996340275
ACO,small,20,3,505,3960.273852567425,0.4356522000161931
SA,medium,50,1,101,14362.99934198403,0.355139100109227
ACO,medium,50,1,101,6360.744981308391,5.250280400039628
SA,medium,50,1,202,13434.879471242984,0.34757550002541393
ACO,medium,50,1,202,6322.783752531761,5.256283499998972
SA,medium,50,1,303,12556.399690570262,0.34106580005027354
ACO,medium,50,1,303,6297.855427954367,5.237142199999653
SA,medium,50,1,404,12527.300411965376,0.3417321000015363
ACO,medium,50,1,404,6322.653009354734,5.245254400069825
SA,medium,50,1,505,12313.220028948268,0.3383926000678912
ACO,medium,50,1,505,6316.9493168253375,5.2541934999171644
SA,medium,50,2,101,11777.788464290223,0.34906979999504983
ACO,medium,50,2,101,5656.802784213619,5.243595400010236
SA,medium,50,2,202,9730.43676526788,0.3329468999290839
ACO,medium,50,2,202,5656.250305399061,5.231056199991144
SA,medium,50,2,303,10417.841271558378,0.3371951999142766
ACO,medium,50,2,303,5656.802784213617,5.206631600041874
SA,medium,50,2,404,11979.544586970038,0.34019459993578494
ACO,medium,50,2,404,5656.250305399063,5.229917399934493
SA,medium,50,2,505,10356.971658149962,0.3375914000207558
ACO,medium,50,2,505,5669.911783457977,5.208401300013065
SA,medium,50,3,101,12626.121635125168,0.34582499996759
ACO,medium,50,3,101,5446.239624306946,5.235920300008729
SA,medium,50,3,202,11585.705965215528,0.34101560001727194
ACO,medium,50,3,202,5464.264102589775,5.235480700037442
SA,medium,50,3,303,10145.521511921563,0.3362139000091702
ACO,medium,50,3,303,5463.362548846708,5.243633200065233
SA,medium,50,3,404,11300.222251554133,0.33186299994122237
ACO,medium,50,3,404,5457.2583202088235,5.2065293999621645
SA,medium,50,3,505,10948.144416575795,0.34002469992265105
ACO,medium,50,3,505,5469.460053965855,5.2178087999345735
SA,large,200,1,101,11405.441069569632,0.9861546000465751
ACO,large,200,1,101,10992.137258950966,213.35010659997351
SA,large,200,1,202,11214.320817187005,0.9589269000571221
ACO,large,200,1,202,11009.161089634767,226.6674434999004
SA,large,200,1,303,11603.556077186367,0.985603200038895
ACO,large,200,1,303,11089.369989420904,238.47444650006946
SA,large,200,1,404,11543.01634183644,1.0377075000433251
ACO,large,200,1,404,11063.299185824364,5750.878048100043
SA,large,200,1,505,11584.841955243932,1.1087584000779316
ACO,large,200,1,505,10989.617568572467,243.19127539999317
SA,large,200,2,101,11971.004951972725,1.1006255999673158
ACO,large,200,2,101,11185.20952404566,251.10090910003055
SA,large,200,2,202,11949.756482706334,1.113886100007221
ACO,large,200,2,202,11287.638651650992,240.11832340003457
SA,large,200,2,303,11841.698084504575,1.0793593000853434
ACO,large,200,2,303,11183.461190991158,219.6382477999432
SA,large,200,2,404,11674.264654523213,0.9934141000267118
ACO,large,200,2,404,11276.855880156316,214.66212290001567
SA,large,200,2,505,11776.646780907746,0.9835237999213859
ACO,large,200,2,505,11173.95842467537,243.22273549996316
SA,large,200,3,101,11797.816961260845,1.1296862999442965
ACO,large,200,3,101,11078.485461526043,236.52567840006668
SA,large,200,3,202,11795.239944669109,1.0708932999987155
ACO,large,200,3,202,11177.168097731497,253.73707409994677
SA,large,200,3,303,11837.319174236176,1.282125600031577
ACO,large,200,3,303,11111.4298062589,302.3326631000964
SA,large,200,3,404,11800.065150583547,1.3302143999608234
ACO,large,200,3,404,11184.373954605693,305.09930829994846
SA,large,200,3,505,11712.871311362316,1.3015038999728858
ACO,large,200,3,505,11141.442117866114,316.6003619999392
