algorithm,n,instance_seed,alg_seed,opt_cost,opt_time_sec,best_cost,runtime_sec,ratio
SA,10,1,101,3447.695686296601,0.002307299990206957,3450.2948687197872,0.10231880005449057,1.000753889745408
SA,10,1,202,3447.695686296601,0.002307299990206957,3447.69568629655,0.09682500001508743,0.9999999999999852
SA,10,1,303,3447.695686296601,0.002307299990206957,3447.6956862965944,0.09043489990290254,0.9999999999999981
SA,10,1,404,3447.695686296601,0.002307299990206957,3493.2485413731115,0.09113580000121146,1.0132125509967622
SA,10,1,505,3447.695686296601,0.002307299990206957,3447.695686296583,0.09111170005053282,0.9999999999999949
ACO,10,1,101,3447.695686296601,0.002307299990206957,3447.6956862966,0.03737929998897016,0.9999999999999998
ACO,10,1,202,3447.695686296601,0.002307299990206957,3447.6956862966003,0.037919400027021766,0.9999999999999999
ACO,10,1,303,3447.695686296601,0.002307299990206957,3447.6956862966003,0.037466099951416254,0.9999999999999999
ACO,10,1,404,3447.695686296601,0.002307299990206957,3447.6956862966003,0.0375365000218153,0.9999999999999999
ACO,10,1,505,3447.695686296601,0.002307299990206957,3447.6956862965994,0.03757040004711598,0.9999999999999996
SA,10,2,101,3011.0839015200445,0.0020860000513494015,3015.32563500552,0.09311990009155124,1.0014087065070933
SA,10,2,202,3011.0839015200445,0.0020860000513494015,3011.08390152006,0.09067219996359199,1.000000000000005
SA,10,2,303,3011.0839015200445,0.0020860000513494015,3011.083901519989,0.08825129992328584,0.9999999999999816
SA,10,2,404,3011.0839015200445,0.0020860000513494015,3015.32563500557,0.09188199997879565,1.00140870650711
SA,10,2,505,3011.0839015200445,0.0020860000513494015,3015.3256350055167,0.09163830010220408,1.0014087065070922
ACO,10,2,101,3011.0839015200445,0.0020860000513494015,3011.083901520044,0.03902669996023178,0.9999999999999999
ACO,10,2,202,3011.0839015200445,0.0020860000513494015,3011.0839015200436,0.03899709996767342,0.9999999999999997
ACO,10,2,303,3011.0839015200445,0.0020860000513494015,3011.083901520044,0.03872620000038296,0.9999999999999999
ACO,10,2,404,3011.0839015200445,0.0020860000513494015,3011.083901520044,0.03873939998447895,0.9999999999999999
ACO,10,2,505,3011.0839015200445,0.0020860000513494015,3011.083901520044,0.039983300026506186,0.9999999999999999
SA,10,3,101,3047.99741406053,0.003632300067692995,3049.4976583574467,0.09332029998768121,1.0004922065517496
SA,10,3,202,3047.99741406053,0.003632300067692995,3047.997414060503,0.0966491000726819,0.9999999999999912
SA,10,3,303,3047.99741406053,0.003632300067692995,3049.497658357555,0.09358280000742525,1.0004922065517852
SA,10,3,404,3047.99741406053,0.003632300067692995,3047.9974140604913,0.09287599998060614,0.9999999999999873
SA,10,3,505,3047.99741406053,0.003632300067692995,3104.3913436993635,0.09289600001648068,1.0185019611167274
ACO,10,3,101,3047.99741406053,0.003632300067692995,3047.997414060529,0.03767880005761981,0.9999999999999997
ACO,10,3,202,3047.99741406053,0.003632300067692995,3047.997414060529,0.03872459998819977,0.9999999999999997
ACO,10,3,303,3047.99741406053,0.003632300067692995,3047.997414060529,0.037814400042407215,0.9999999999999997
ACO,10,3,404,3047.99741406053,0.003632300067692995,3047.997414060529,0.03772360004950315,0.9999999999999997
ACO,10,3,505,3047.99741406053,0.003632300067692995,3047.997414060529,0.037694299942813814,0.9999999999999997
SA,12,1,101,3626.7119997487343,0.013481700094416738,3683.909446426266,0.08935580006800592,1.0157711576440298
SA,12,1,202,3626.7119997487343,0.013481700094416738,3972.165916984791,0.0901014000410214,1.0952526468216914
SA,12,1,303,3626.7119997487343,0.013481700094416738,3912.0030135231227,0.09030299994628876,1.078663818299924
SA,12,1,404,3626.7119997487343,0.013481700094416738,3820.1732501480137,0.09224040003027767,1.0533434279900589
SA,12,1,505,3626.7119997487343,0.013481700094416738,3838.8920143092687,0.09159089997410774,1.0585047874149462
ACO,12,1,101,3626.7119997487343,0.013481700094416738,3626.7119997487343,0.06348620005883276,1.0
ACO,12,1,202,3626.7119997487343,0.013481700094416738,3626.711999748734,0.06338429998140782,0.9999999999999999
ACO,12,1,303,3626.7119997487343,0.013481700094416738,3626.711999748734,0.06505520001519471,0.9999999999999999
ACO,12,1,404,3626.7119997487343,0.013481700094416738,3626.7119997487343,0.06448329996783286,1.0
ACO,12,1,505,3626.7119997487343,0.013481700094416738,3626.7119997487334,0.0665606000693515,0.9999999999999998
SA,12,2,101,3113.5896776752643,0.012359400046989322,3352.887610040871,0.0952322999946773,1.076855962775505
SA,12,2,202,3113.5896776752643,0.012359400046989322,3219.36792391956,0.09041820000857115,1.0339730848296216
SA,12,2,303,3113.5896776752643,0.012359400046989322,3350.490671598957,0.09082819998729974,1.0760861315870538
SA,12,2,404,3113.5896776752643,0.012359400046989322,3190.8271543087158,0.0890333999413997,1.0248065688254466
SA,12,2,505,3113.5896776752643,0.012359400046989322,3280.0620821887264,0.08948520000558347,1.053466391447494
ACO,12,2,101,3113.5896776752643,0.012359400046989322,3113.589677675264,0.0668043999467045,0.9999999999999999
ACO,12,2,202,3113.5896776752643,0.012359400046989322,3113.589677675264,0.0656959000043571,0.9999999999999999
ACO,12,2,303,3113.5896776752643,0.012359400046989322,3113.589677675264,0.06614299991633743,0.9999999999999999
ACO,12,2,404,3113.5896776752643,0.012359400046989322,3113.5896776752643,0.06611410004552454,1.0
ACO,12,2,505,3113.5896776752643,0.012359400046989322,3113.589677675263,0.066602100036107,0.9999999999999996
SA,12,3,101,3103.0436427627765,0.012983600026927888,3174.9658171264377,0.08843909995630383,1.0231779448321345
SA,12,3,202,3103.0436427627765,0.012983600026927888,3236.229646620558,0.08997249999083579,1.042921086259425
SA,12,3,303,3103.0436427627765,0.012983600026927888,3348.602057731214,0.09053339995443821,1.0791346958787231
SA,12,3,404,3103.0436427627765,0.012983600026927888,3584.309410900015,0.09071939997375011,1.155094746817272
SA,12,3,505,3103.0436427627765,0.012983600026927888,3162.2856831409554,0.08959939994383603,1.0190915910951974
ACO,12,3,101,3103.0436427627765,0.012983600026927888,3103.043642762776,0.06561839999631047,0.9999999999999999
ACO,12,3,202,3103.0436427627765,0.012983600026927888,3103.043642762776,0.06483700009994209,0.9999999999999999
ACO,12,3,303,3103.0436427627765,0.012983600026927888,3103.0436427627756,0.06443400005809963,0.9999999999999997
ACO,12,3,404,3103.0436427627765,0.012983600026927888,3103.043642762776,0.06583549990318716,0.9999999999999999
ACO,12,3,505,3103.0436427627765,0.012983600026927888,3103.0436427627765,0.06489819998387247,1.0
SA,14,1,101,3800.680996212786,0.07271860004402697,3933.338823271353,0.08692859997972846,1.0349036994135405
SA,14,1,202,3800.680996212786,0.07271860004402697,4389.316999889876,0.08680259995162487,1.1548764561571045
SA,14,1,303,3800.680996212786,0.07271860004402697,4652.718725546763,0.0874955999897793,1.224180279845374
SA,14,1,404,3800.680996212786,0.07271860004402697,4363.290831977697,0.08696290000807494,1.1480286917859004
SA,14,1,505,3800.680996212786,0.07271860004402697,4569.973780569976,0.08507610007654876,1.2024091959108794
ACO,14,1,101,3800.680996212786,0.07271860004402697,3800.6809962127845,0.10113650001585484,0.9999999999999997
ACO,14,1,202,3800.680996212786,0.07271860004402697,3800.6809962127845,0.10133350000251085,0.9999999999999997
ACO,14,1,303,3800.680996212786,0.07271860004402697,3800.6809962127845,0.10143010003957897,0.9999999999999997
ACO,14,1,404,3800.680996212786,0.07271860004402697,3800.6809962127845,0.10143289994448423,0.9999999999999997
ACO,14,1,505,3800.680996212786,0.07271860004402697,3800.6809962127845,0.1011258999351412,0.9999999999999997
SA,14,2,101,3438.8051371929323,0.06593190005514771,3746.109644746934,0.08670689992140979,1.0893637456308012
SA,14,2,202,3438.8051371929323,0.06593190005514771,3857.01497536946,0.08722129999659956,1.1216148695525996
SA,14,2,303,3438.8051371929323,0.06593190005514771,3825.2791261760353,0.08837859996128827,1.1123861264493105
SA,14,2,404,3438.8051371929323,0.06593190005514771,4150.447201399469,0.08809069998096675,1.2069445740061457
SA,14,2,505,3438.8051371929323,0.06593190005514771,3678.3326594736873,0.08554360002744943,1.0696542876739679
ACO,14,2,101,3438.8051371929323,0.06593190005514771,3438.8051371929314,0.10230619995854795,0.9999999999999998
ACO,14,2,202,3438.8051371929323,0.06593190005514771,3438.8051371929314,0.10246820002794266,0.9999999999999998
ACO,14,2,303,3438.8051371929323,0.06593190005514771,3438.8051371929314,0.10385459999088198,0.9999999999999998
ACO,14,2,404,3438.8051371929323,0.06593190005514771,3438.8051371929314,0.1025008000433445,0.9999999999999998
ACO,14,2,505,3438.8051371929323,0.06593190005514771,3438.8051371929314,0.10248730005696416,0.9999999999999998
SA,14,3,101,3233.6678316888,0.06374339992180467,4048.328288136101,0.08711820002645254,1.2519307791801981
SA,14,3,202,3233.6678316888,0.06374339992180467,4264.44015107061,0.08857819996774197,1.3187625857178669
SA,14,3,303,3233.6678316888,0.06374339992180467,3565.6707224322795,0.08669909997843206,1.102670684814924
SA,14,3,404,3233.6678316888,0.06374339992180467,4101.070831847595,0.08674059994518757,1.2682412187357504
SA,14,3,505,3233.6678316888,0.06374339992180467,4058.822396253909,0.0884951000334695,1.2551760438963107
ACO,14,3,101,3233.6678316888,0.06374339992180467,3233.667831688799,0.10202870005741715,0.9999999999999997
ACO,14,3,202,3233.6678316888,0.06374339992180467,3233.667831688799,0.10137290006969124,0.9999999999999997
ACO,14,3,303,3233.6678316888,0.06374339992180467,3233.6678316887987,0.10162319999653846,0.9999999999999996
ACO,14,3,404,3233.6678316888,0.06374339992180467,3233.667831688799,0.10305650008376688,0.9999999999999997
ACO,14,3,505,3233.6678316888,0.06374339992180467,3233.667831688799,0.1018903999356553,0.9999999999999997
