algorithm,instance,n,alg_seed,best_cost,runtime_sec
SA,berlin52,52,101,7806.458911650215,0.44656019999820273
ACO,berlin52,52,101,7544.365901904086,1.5000946999934968
SA,berlin52,52,202,7947.272118014159,0.45256100001279265
ACO,berlin52,52,202,7544.365901904086,1.503000199998496
SA,berlin52,52,303,7785.97600657655,0.4511384000070393
ACO,berlin52,52,303,7544.365901904086,1.5142301000014413
SA,berlin52,52,404,7819.532653750322,0.44940389999828767
ACO,berlin52,52,404,7777.33231127591,1.526945399993565
SA,berlin52,52,505,7822.306088696078,0.4461374000093201
ACO,berlin52,52,505,7544.365901904086,1.5149052000051597
SA,st70,70,101,710.9677076163895,0.46777750000183005
ACO,st70,70,101,680.4998163606,2.7431205000029877
SA,st70,70,202,707.4699472153015,0.4719733000092674
ACO,st70,70,202,678.9515007829029,2.706634699992719
SA,st70,70,303,717.5862408538684,0.46273059998929966
ACO,st70,70,303,681.9012276755287,2.706709200007026
SA,st70,70,404,724.2752927490927,0.46460180000576656
ACO,st70,70,404,677.1114184774736,2.7207467000116594
SA,st70,70,505,716.7826049135313,0.4659489999903599
ACO,st70,70,505,682.615350772402,2.706515500001842
