algorithm,label,n,instance_seed,alg_seed,best_cost,runtime_sec
ACO,small,20,1,202,4130.553213472366,0.17746739997528493
ACO,small,20,1,101,4130.553213472366,0.18743030005134642
ACO,small,20,1,404,4130.553213472366,0.18262269999831915
ACO,small,20,1,303,4130.553213472366,0.20698490005452186
ACO,small,20,1,505,4130.553213472366,0.1904326000949368
SA,small,20,1,101,4221.649813591996,0.16846639988943934
SA,small,20,1,202,4173.266539450517,0.16150659997947514
SA,small,20,1,303,4130.553213472369,0.16290799994021654
SA,small,20,1,404,4173.26653945056,0.16113529994618148
SA,small,20,1,505,4255.658848798981,0.16226120002102107
ACO,small,20,2,101,3622.8436281750023,0.1853283999953419
ACO,small,20,2,202,3622.843628175002,0.18767010001465678
ACO,small,20,2,303,3622.843628175002,0.1806132000638172
ACO,small,20,2,404,3622.843628175003,0.17558709997683764
ACO,small,20,2,505,3622.8436281750023,0.17177079990506172
SA,small,20,2,101,3622.843628175091,0.15454139991197735
SA,small,20,2,202,3622.843628174959,0.15861850010696799
SA,small,20,2,303,3622.8436281749673,0.15757489996030927
SA,small,20,2,404,3647.8869337987444,0.15563190006650984
SA,small,20,2,505,3622.8436281750155,0.157869299990125
ACO,small,20,3,101,3960.2738525674267,0.17704260000027716
ACO,small,20,3,202,3960.2738525674267,0.17932879994623363
ACO,small,20,3,404,3960.2738525674267,0.18675860005896538
ACO,small,20,3,505,3960.2738525674263,0.1790713999653235
ACO,small,20,3,303,3960.2738525674267,0.19960940000601113
SA,small,20,3,101,3969.998687002021,0.16391890007071197
SA,small,20,3,202,3969.9986870018756,0.15504959993995726
SA,small,20,3,303,3981.1070335234726,0.15628220001235604
SA,small,20,3,404,4002.219270528517,0.15446650004014373
SA,small,20,3,505,3960.273852567343,0.15585790004115552
ACO,medium,50,1,404,6427.676949196038,1.9168474999023601
ACO,medium,50,1,505,6407.386134176937,1.9469463999848813
ACO,medium,50,1,303,6362.639507236973,1.9784676999552175
ACO,medium,50,1,202,6358.673739777685,2.0066628999775276
ACO,medium,50,1,101,6396.600114637703,2.0526982999872416
SA,medium,50,1,202,6406.351012838504,0.8798554999521002
SA,medium,50,1,303,6597.300872686429,0.8737464000005275
SA,medium,50,1,101,6382.9431680065845,0.9032934000715613
SA,medium,50,1,505,6446.943301830668,0.8787670999299735
SA,medium,50,1,404,6356.381875622557,0.8977432999527082
ACO,medium,50,2,303,5656.2503053990595,1.8854776000371203
ACO,medium,50,2,101,5712.348535261215,1.9183668999467045
ACO,medium,50,2,202,5656.2503053990595,1.9113157999236137
ACO,medium,50,2,505,5656.80278421362,1.924537800019607
ACO,medium,50,2,404,5666.003568110516,1.9843888999894261
SA,medium,50,2,101,5743.793063632806,0.8831978000234812
SA,medium,50,2,303,5687.047713678,0.8898825000505894
SA,medium,50,2,202,6016.302255088279,0.9046747999964282
SA,medium,50,2,404,5766.865494479742,0.9117023999569938
SA,medium,50,2,505,6053.6484250886215,0.9227878999663517
ACO,medium,50,3,303,5617.637671583885,1.8877464999677613
ACO,medium,50,3,101,5502.200210407412,1.9380927999736741
ACO,medium,50,3,202,5446.239624306946,1.9392645000480115
ACO,medium,50,3,404,5546.080370201009,1.917130900081247
ACO,medium,50,3,505,5549.426453746471,1.9728477000026032
SA,medium,50,3,101,5653.979920899413,0.8901399000314996
SA,medium,50,3,303,5683.34429881847,0.8913276999955997
SA,medium,50,3,404,5585.457228407812,0.8796967000234872
SA,medium,50,3,202,5626.264490081578,0.9072019999148324
SA,medium,50,3,505,5813.775542243883,0.9164184000110254
ACO,large,200,1,101,10794.21572154774,67.85224279994145
ACO,large,200,1,404,10923.803039012531,67.59796609997284
ACO,large,200,1,303,10840.451108792517,67.62919569993392
ACO,large,200,1,202,10878.476624828802,67.76685409992933
ACO,large,200,1,505,10856.640409534084,68.52264510001987
SA,large,200,1,101,60581.11659896099,6.230778599972837
SA,large,200,1,202,53895.21949793487,5.9883844999130815
SA,large,200,1,303,58083.335609925416,6.108029199996963
SA,large,200,1,505,58837.03829019947,6.121131399995647
SA,large,200,1,404,68987.30242274428,6.270592399989255
ACO,large,200,2,202,10875.84047322336,67.76055789995007
ACO,large,200,2,303,10803.58777160615,67.78085770003963
ACO,large,200,2,101,10894.284080216568,68.00885680003557
ACO,large,200,2,404,10862.172228549594,67.436456299969
ACO,large,200,2,505,10837.230712374621,67.76439130003564
SA,large,200,2,101,65564.94801309952,6.213831500033848
SA,large,200,2,404,67599.50690325703,6.158839200041257
SA,large,200,2,202,63896.79328202958,6.364035199978389
SA,large,200,2,303,66009.482848064,6.370366999995895
SA,large,200,2,505,67837.59287392002,5.9502451999578625
ACO,large,200,3,101,10840.30077198188,67.24384850007482
ACO,large,200,3,505,10756.272074037914,67.20912599994335
ACO,large,200,3,303,10812.375241642461,67.25900610000826
ACO,large,200,3,404,10744.66439216976,67.33043299999554
ACO,large,200,3,202,10695.55676763166,67.46082999999635
SA,large,200,3,202,62675.20844921344,5.9069526999956
SA,large,200,3,505,53395.84970627363,5.887514199945144
SA,large,200,3,101,67851.59850687673,6.035996599937789
SA,large,200,3,404,65066.227031931994,6.013370900065638
SA,large,200,3,303,67934.87615058855,6.170527299982496
