algorithm,n,instance_seed,alg_seed,opt_cost,opt_time_sec,best_cost,runtime_sec,ratio
SA,10,1,101,3447.695686296601,0.001867600018158555,3450.2948687197872,0.09814150002785027,1.000753889745408
SA,10,1,202,3447.695686296601,0.001867600018158555,3447.69568629655,0.09152830007951707,0.9999999999999852
SA,10,1,303,3447.695686296601,0.001867600018158555,3447.6956862965944,0.09136459999717772,0.9999999999999981
SA,10,1,404,3447.695686296601,0.001867600018158555,3493.2485413731115,0.09198249992914498,1.0132125509967622
SA,10,1,505,3447.695686296601,0.001867600018158555,3447.695686296583,0.0921414999756962,0.9999999999999949
ACO,10,1,101,3447.695686296601,0.001867600018158555,3447.695686296601,0.023276800056919456,1.0
ACO,10,1,202,3447.695686296601,0.001867600018158555,3447.695686296601,0.0233519000466913,1.0
ACO,10,1,303,3447.695686296601,0.001867600018158555,3447.695686296601,0.023359599988907576,1.0
ACO,10,1,404,3447.695686296601,0.001867600018158555,3447.695686296601,0.023958300007507205,1.0
ACO,10,1,505,3447.695686296601,0.001867600018158555,3447.695686296601,0.02350290003232658,1.0
SA,10,2,101,3011.0839015200445,0.0016609999584034085,3015.32563500552,0.09331079991534352,1.0014087065070933
SA,10,2,202,3011.0839015200445,0.0016609999584034085,3011.08390152006,0.09062249993439764,1.000000000000005
SA,10,2,303,3011.0839015200445,0.0016609999584034085,3011.083901519989,0.08998219994828105,0.9999999999999816
SA,10,2,404,3011.0839015200445,0.0016609999584034085,3015.32563500557,0.0944506999803707,1.00140870650711
SA,10,2,505,3011.0839015200445,0.0016609999584034085,3015.3256350055167,0.09287250007037073,1.0014087065070922
ACO,10,2,101,3011.0839015200445,0.0016609999584034085,3011.083901520044,0.023269600002095103,0.9999999999999999
ACO,10,2,202,3011.0839015200445,0.0016609999584034085,3011.083901520044,0.0234139000531286,0.9999999999999999
ACO,10,2,303,3011.0839015200445,0.0016609999584034085,3011.083901520044,0.023645500070415437,0.9999999999999999
ACO,10,2,404,3011.0839015200445,0.0016609999584034085,3011.083901520044,0.02366460009943694,0.9999999999999999
ACO,10,2,505,3011.0839015200445,0.0016609999584034085,3011.083901520044,0.023216000059619546,0.9999999999999999
SA,10,3,101,3047.99741406053,0.002624099957756698,3049.4976583574467,0.0941829999210313,1.0004922065517496
SA,10,3,202,3047.99741406053,0.002624099957756698,3047.997414060503,0.09407560003455728,0.9999999999999912
SA,10,3,303,3047.99741406053,0.002624099957756698,3049.497658357555,0.09507949999533594,1.0004922065517852
SA,10,3,404,3047.99741406053,0.002624099957756698,3047.9974140604913,0.09397130005527288,0.9999999999999873
SA,10,3,505,3047.99741406053,0.002624099957756698,3104.3913436993635,0.09390370000619441,1.0185019611167274
ACO,10,3,101,3047.99741406053,0.002624099957756698,3047.9974140605295,0.023547800024971366,0.9999999999999999
ACO,10,3,202,3047.99741406053,0.002624099957756698,3047.997414060529,0.02346719999331981,0.9999999999999997
ACO,10,3,303,3047.99741406053,0.002624099957756698,3047.9974140605295,0.02348169998731464,0.9999999999999999
ACO,10,3,404,3047.99741406053,0.002624099957756698,3047.9974140605295,0.02345209999475628,0.9999999999999999
ACO,10,3,505,3047.99741406053,0.002624099957756698,3047.9974140605295,0.02349839999806136,0.9999999999999999
SA,12,1,101,3626.7119997487343,0.010693600052036345,3683.909446426266,0.08850909990724176,1.0157711576440298
SA,12,1,202,3626.7119997487343,0.010693600052036345,3972.165916984791,0.08880110003519803,1.0952526468216914
SA,12,1,303,3626.7119997487343,0.010693600052036345,3912.0030135231227,0.08826539991423488,1.078663818299924
SA,12,1,404,3626.7119997487343,0.010693600052036345,3820.1732501480137,0.08822030003648251,1.0533434279900589
SA,12,1,505,3626.7119997487343,0.010693600052036345,3838.8920143092687,0.08834909996949136,1.0585047874149462
ACO,12,1,101,3626.7119997487343,0.010693600052036345,3626.7119997487343,0.038778599933721125,1.0
ACO,12,1,202,3626.7119997487343,0.010693600052036345,3626.7119997487343,0.03882550005801022,1.0
ACO,12,1,303,3626.7119997487343,0.010693600052036345,3626.7119997487343,0.038800799986347556,1.0
ACO,12,1,404,3626.7119997487343,0.010693600052036345,3626.7119997487343,0.03892309998627752,1.0
ACO,12,1,505,3626.7119997487343,0.010693600052036345,3626.7119997487343,0.03893309994600713,1.0
SA,12,2,101,3113.5896776752643,0.010458400007337332,3352.887610040871,0.09077299991622567,1.076855962775505
SA,12,2,202,3113.5896776752643,0.010458400007337332,3219.36792391956,0.09112540003843606,1.0339730848296216
SA,12,2,303,3113.5896776752643,0.010458400007337332,3350.490671598957,0.09121370001230389,1.0760861315870538
SA,12,2,404,3113.5896776752643,0.010458400007337332,3190.8271543087158,0.08931090007536113,1.0248065688254466
SA,12,2,505,3113.5896776752643,0.010458400007337332,3280.0620821887264,0.09015009994618595,1.053466391447494
ACO,12,2,101,3113.5896776752643,0.010458400007337332,3113.5896776752643,0.03868790005799383,1.0
ACO,12,2,202,3113.5896776752643,0.010458400007337332,3113.5896776752643,0.03876809997018427,1.0
ACO,12,2,303,3113.5896776752643,0.010458400007337332,3113.5896776752643,0.03876569995190948,1.0
ACO,12,2,404,3113.5896776752643,0.010458400007337332,3113.5896776752643,0.03879400005098432,1.0
ACO,12,2,505,3113.5896776752643,0.010458400007337332,3113.5896776752643,0.03882499993778765,1.0
SA,12,3,101,3103.0436427627765,0.010578799992799759,3174.9658171264377,0.08815419999882579,1.0231779448321345
SA,12,3,202,3103.0436427627765,0.010578799992799759,3236.229646620558,0.08973120001610368,1.042921086259425
SA,12,3,303,3103.0436427627765,0.010578799992799759,3348.602057731214,0.08867580001242459,1.0791346958787231
SA,12,3,404,3103.0436427627765,0.010578799992799759,3584.309410900015,0.08959150000009686,1.155094746817272
SA,12,3,505,3103.0436427627765,0.010578799992799759,3162.2856831409554,0.08869959996081889,1.0190915910951974
ACO,12,3,101,3103.0436427627765,0.010578799992799759,3103.0436427627765,0.03960469993762672,1.0
ACO,12,3,202,3103.0436427627765,0.010578799992799759,3103.0436427627765,0.03960480005480349,1.0
ACO,12,3,303,3103.0436427627765,0.010578799992799759,3103.0436427627765,0.03965179994702339,1.0
ACO,12,3,404,3103.0436427627765,0.010578799992799759,3103.0436427627765,0.03955290000885725,1.0
ACO,12,3,505,3103.0436427627765,0.010578799992799759,3103.0436427627765,0.03961370000615716,1.0
SA,14,1,101,3800.680996212786,0.0625983999343589,3933.338823271353,0.08678480004891753,1.0349036994135405
SA,14,1,202,3800.680996212786,0.0625983999343589,4389.316999889876,0.0874748999485746,1.1548764561571045
SA,14,1,303,3800.680996212786,0.0625983999343589,4652.718725546763,0.08756520005408674,1.224180279845374
SA,14,1,404,3800.680996212786,0.0625983999343589,4363.290831977697,0.08732959988992661,1.1480286917859004
SA,14,1,505,3800.680996212786,0.0625983999343589,4569.973780569976,0.08608979999553412,1.2024091959108794
ACO,14,1,101,3800.680996212786,0.0625983999343589,3800.680996212786,0.05969719996210188,1.0
ACO,14,1,202,3800.680996212786,0.0625983999343589,3800.6809962127854,0.059645900037139654,0.9999999999999999
ACO,14,1,303,3800.680996212786,0.0625983999343589,3800.6809962127854,0.05960319994483143,0.9999999999999999
ACO,14,1,404,3800.680996212786,0.0625983999343589,3800.6809962127854,0.05970310000702739,0.9999999999999999
ACO,14,1,505,3800.680996212786,0.0625983999343589,3800.6809962127854,0.05965399998240173,0.9999999999999999
SA,14,2,101,3438.8051371929323,0.06586860003881156,3746.109644746934,0.0877820000750944,1.0893637456308012
SA,14,2,202,3438.8051371929323,0.06586860003881156,3857.01497536946,0.08660840010270476,1.1216148695525996
SA,14,2,303,3438.8051371929323,0.06586860003881156,3825.2791261760353,0.08829230000264943,1.1123861264493105
SA,14,2,404,3438.8051371929323,0.06586860003881156,4150.447201399469,0.08731710002757609,1.2069445740061457
SA,14,2,505,3438.8051371929323,0.06586860003881156,3678.3326594736873,0.08505390002392232,1.0696542876739679
ACO,14,2,101,3438.8051371929323,0.06586860003881156,3438.805137192932,0.059914100100286305,0.9999999999999999
ACO,14,2,202,3438.8051371929323,0.06586860003881156,3438.805137192932,0.059777499991469085,0.9999999999999999
ACO,14,2,303,3438.8051371929323,0.06586860003881156,3438.805137192932,0.05955300002824515,0.9999999999999999
ACO,14,2,404,3438.8051371929323,0.06586860003881156,3438.8051371929314,0.05980050005018711,0.9999999999999998
ACO,14,2,505,3438.8051371929323,0.06586860003881156,3438.805137192932,0.059944799984805286,0.9999999999999999
SA,14,3,101,3233.6678316888,0.06195370003115386,4048.328288136101,0.08812780003063381,1.2519307791801981
SA,14,3,202,3233.6678316888,0.06195370003115386,4264.44015107061,0.0887522998964414,1.3187625857178669
SA,14,3,303,3233.6678316888,0.06195370003115386,3565.6707224322795,0.08791100000962615,1.102670684814924
SA,14,3,404,3233.6678316888,0.06195370003115386,4101.070831847595,0.0870351999765262,1.2682412187357504
SA,14,3,505,3233.6678316888,0.06195370003115386,4058.822396253909,0.08902529999613762,1.2551760438963107
ACO,14,3,101,3233.6678316888,0.06195370003115386,3233.667831688799,0.05959459999576211,0.9999999999999997
ACO,14,3,202,3233.6678316888,0.06195370003115386,3233.667831688799,0.059866299969144166,0.9999999999999997
ACO,14,3,303,3233.6678316888,0.06195370003115386,3233.667831688799,0.05966439994517714,0.9999999999999997
ACO,14,3,404,3233.6678316888,0.06195370003115386,3233.667831688799,0.05980060005094856,0.9999999999999997
ACO,14,3,505,3233.6678316888,0.06195370003115386,3233.667831688799,0.05984629993326962,0.9999999999999997
